"dL []","Freq [GHz]","re(Z(1,1)) []","im(Z(1,1)) []"
0.056825,2.421,70.8714752661409,-1.78344180914472
0.056825,2.424,71.204477416279,-1.0422972259118
0.056825,2.427,71.5391059558268,-0.301194244186588
0.056825,2.43,71.875369583094,0.439869563526621
0.056825,2.433,72.2132770515124,1.18089659043094
0.056825,2.436,72.5528371700792,1.92188919519674
0.056825,2.439,72.8940588038041,2.66284970171486
0.056825,2.442,73.2369508741618,3.40378039884345
0.056825,2.445,73.581522359549,4.14468354015002
0.056825,2.448,73.9277822957461,4.88556134364551
0.056825,2.451,74.2757397763834,5.62641599151265
0.056825,2.454,74.6254039534127,6.36724962982775
0.056825,2.457,74.9767840375834,7.10806436827562
0.056825,2.46,75.3298892989236,7.84886227985769
0.056825,2.463,75.6847290672261,8.58964540059334
0.056825,2.466,76.0413127325393,9.33041572921367
0.056825,2.469,76.3996497456638,10.0711752268489
0.056825,2.472,76.759749618653,10.8119258167077
0.056825,2.475,77.12162192532,11.552669383749
0.056825,2.478,77.4852763017484,12.293407774347
0.056825,2.481,77.8507224468094,13.034142795947
0.056825,2.484,78.2179701226839,13.7748762167153
0.056825,2.487,78.587029155389,14.5156097651788
0.056825,2.49,78.9579094353114,15.256345129858
0.056825,2.493,79.3306209177444,15.997083958891
0.056825,2.496,79.705173623432,16.7378278596491
0.056825,2.499,80.081577639117,17.4785783983437
0.056825,2.502,80.4598431180954,18.2193370996239
0.056825,2.505,80.8399802807759,18.9601054461661
0.056825,2.508,81.2219994152454,19.700884878253
0.056825,2.511,81.6059108778393,20.4416767933445
0.056825,2.514,81.9917250937184,21.1824825456383
0.056825,2.517,82.3794525574499,21.9233034456207
0.056825,2.52,82.7691038335961,22.6641407596078
0.056825,2.523,83.160689557307,23.404995709277
0.056825,2.526,83.5542204349194,24.1458694711865
0.056825,2.529,83.9497072445614,24.8867631762862
0.056825,2.532,84.3471608367632,25.6276779094169
0.056825,2.535,84.7465921350728,26.3686147087983
0.056825,2.538,85.1480121366786,27.1095745655068
0.056825,2.541,85.5514319130362,27.8505584229405
0.056825,2.544,85.9568626105027,28.5915671762745
0.056825,2.547,86.3643154509759,29.3326016719024
0.056825,2.55,86.7738017325393,30.0736627068673
0.056825,2.553,87.1853328301131,30.8147510282794
0.056825,2.556,87.5989201961115,31.5558673327219
0.056825,2.559,88.0145753611049,32.2970122656435
0.056825,2.562,88.4323099344887,33.0381864207384
0.056825,2.565,88.8521356051577,33.7793903393125
0.056825,2.568,89.2740641421862,34.5206245096365
0.056825,2.571,89.6981073955142,35.2618893662853
0.056825,2.574,90.1242772966391,36.0031852894626
0.056825,2.577,90.5525858593137,36.7445126043121
0.056825,2.58,90.9830451802493,37.4858715802132
0.056825,2.583,91.4156674398251,38.2272624300629
0.056825,2.586,91.8504649028031,38.9686853095412
0.056825,2.589,92.2874499190489,39.7101403163622
0.056825,2.592,92.7266349242579,40.4516274895085
0.056825,2.595,93.1680324406874,41.1931468084504
