"Freq [GHz]","dB(S(1,1)) []"
2.442,-5.83003115497192
2.445,-5.77304826919832
2.448,-5.71701082772105
2.451,-5.66189858705397
2.454,-5.60769181530296
2.457,-5.55437127827131
2.46,-5.50191822587939
2.463,-5.45031437890326
2.466,-5.3995419160354
2.469,-5.34958346126852
2.472,-5.30042207160257
2.475,-5.25204122507294
2.478,-5.20442480909775
2.481,-5.15755710914046
2.484,-5.11142279768376
2.487,-5.06600692350983
2.49,-5.02129490128168
2.493,-4.97727250141993
2.496,-4.93392584026879
2.499,-4.89124137054509
2.502,-4.84920587206389
2.505,-4.80780644273391
2.508,-4.76703048981623
2.511,-4.72686572143938
2.514,-4.68730013836417
2.517,-4.64832202599151
2.52,-4.60991994660633
2.523,-4.57208273185133
2.526,-4.53479947542365
2.529,-4.49805952598826
2.532,-4.46185248030155
