"Freq [GHz]","re(Z(1,1)) []","im(Z(1,1)) []"
2.739,181.572192648765,148.627415325377
2.742,182.571323433836,149.434804338258
2.745,183.576400499064,150.240933724509
2.748,184.587460678765,151.045773418323
2.751,185.60454098595,151.849292831159
2.754,186.627678611006,152.651460843837
2.757,187.656910920294,153.452245798511
2.76,188.692275454643,154.251615490522
2.763,189.733809927755,155.049537160129
2.766,190.781552224508,155.845977484114
2.769,191.835540399159,156.640902567271
2.772,192.895812673431,157.434277933763
2.775,193.962407434502,158.226068518351
2.778,195.035363232874,159.016238657497
2.781,196.114718780124,159.804752080344
2.784,197.200512946538,160.591571899551
2.787,198.292784758619,161.376660602007
2.79,199.391573396459,162.159980039409
2.793,200.49691819099,162.941491418705
2.796,201.608858621092,163.721155292399
2.799,202.727434310553,164.498931548724
2.802,203.852685024897,165.274779401675
2.805,204.984650668046,166.048657380898
2.808,206.123371278838,166.820523321447
2.811,207.268887027382,167.590334353395
2.814,208.421238211242,168.358046891307
2.817,209.58046525146,169.123616623563
2.82,210.746608688396,169.886998501542
2.823,211.919709177392,170.648146728664
2.826,213.099807484249,171.407014749282
2.829,214.286944480505,172.163555237429
2.832,215.481161138529,172.917720085418
2.835,216.682498526398,173.669460392298
2.838,217.890997802572,174.41872645216
2.841,219.106700210351,175.165467742291
2.844,220.32964707211,175.909632911189
2.847,221.559879783302,176.651169766423
2.85,222.797439806233,177.390025262344
2.853,224.042368663582,178.126145487646
2.856,225.294707931687,178.859475652791
2.859,226.554499233564,179.589960077266
2.862,227.821784231661,180.317542176707
2.865,229.096604620348,181.042164449868
2.868,230.379002118123,181.763768465449
2.871,231.669018459528,182.482294848769
2.874,232.966695386779,183.197683268304
2.877,234.27207464108,183.909872422069
2.88,235.585197953637,184.618800023869
2.883,236.906107036342,185.324402789397
2.886,238.234843572135,186.026616422201
2.889,239.571449205021,186.725375599503
2.892,240.915965529744,187.42061395789
2.895,242.268434081103,188.112264078864
2.898,243.628896322899,188.800257474264
2.901,244.997393636508,189.484524571553
2.904,246.37396730907,190.164994698983
2.907,247.758658521272,190.841596070633
2.91,249.151508334736,191.514255771325
2.913,250.552557678982,192.18289974143
2.916,251.961847337964,192.847452761548
2.919,253.379417936168,193.507838437089
2.922,254.805309924255,194.163979182744
2.925,256.239563564255,194.815796206856
2.928,257.682218914266,195.4632094957
2.931,259.13331581269,196.106137797662
2.934,260.592893861956,196.74449860735
2.937,262.060992411742,197.378208149606
2.94,263.537650541671,198.007181363468
2.943,265.022907043476,198.631331886049
2.946,266.516800402615,199.250572036368
2.949,268.019368779327,199.864812799129
2.952,269.530649989117,200.473963808454
2.955,271.05068148265,201.077933331588
2.958,272.579500325052,201.676628252576
2.961,274.117143174588,202.269954055927
2.964,275.663646260725,202.857814810269
2.967,277.219045361544,203.440113152015
2.97,278.7833757805,204.016750269042
2.973,280.356672322516,204.5876258844
2.976,281.938969269388,205.152638240061
2.979,283.530300354495,205.711684080719
2.982,285.130698736801,206.264658637665
2.985,286.740196974116,206.81145561273
2.988,288.358826995633,207.351967162337
2.991,289.986620073696,207.886083881656
2.994,291.623606794798,208.413694788885
2.997,293.269817029802,208.934687309686
3,294.925279903351,209.44894726177
