"Freq [GHz]","St(1,1) []"
2.718,0.683201325782809 + 0.20149397914069i
2.721,0.684807158847103 + 0.200759958928009i
2.724,0.686399147632566 + 0.200022928054624i
2.727,0.687977423987984 + 0.199282999146883i
2.73,0.689542118755177 + 0.19854028213288i
2.733,0.691093361760142 + 0.197794884300305i
2.736,0.692631281805041 + 0.197046910353163i
2.739,0.694156006661025 + 0.196296462467365i
2.742,0.695667663061837 + 0.195543640345226i
2.745,0.697166376698168 + 0.19478854126886i
2.748,0.698652272212736 + 0.194031260152525i
2.751,0.700125473196048 + 0.193271889593902i
2.754,0.701586102182818 + 0.192510519924347i
2.757,0.703034280649017 + 0.191747239258117i
2.76,0.704470129009515 + 0.190982133540599i
2.763,0.705893766616292 + 0.190215286595557i
2.766,0.707305311757204 + 0.189446780171407i
2.769,0.70870488165525 + 0.188676693986541i
2.772,0.710092592468352 + 0.187905105773719i
2.775,0.711468559289582 + 0.187132091323545i
2.778,0.712832896147862 + 0.186357724527035i
2.781,0.714185716009065 + 0.18558207741731i
2.784,0.715527130777532 + 0.18480522021041i
2.787,0.716857251297976 + 0.184027221345262i
2.79,0.718176187357737 + 0.183248147522808i
2.793,0.719484047689393 + 0.182468063744316i
2.796,0.720780939973696 + 0.181687033348881i
2.799,0.722066970842809 + 0.180905118050135i
2.802,0.723342245883853 + 0.180122377972187i
2.805,0.724606869642709 + 0.179338871684802i
2.808,0.725860945628098 + 0.17855465623783i
2.811,0.727104576315905 + 0.17776978719491i
2.814,0.728337863153723 + 0.176984318666455i
2.817,0.729560906565633 + 0.176198303341937i
2.82,0.730773805957177 + 0.175411792521482i
2.823,0.731976659720527 + 0.174624836146794i
2.826,0.733169565239838 + 0.173837482831418i
2.829,0.734352618896765 + 0.173049779890352i
2.832,0.735525916076139 + 0.172261773369035i
2.835,0.736689551171795 + 0.171473508071703i
2.838,0.737843617592532 + 0.170685027589147i
2.841,0.738988207768198 + 0.169896374325869i
2.844,0.740123413155905 + 0.169107589526661i
2.847,0.741249324246333 + 0.168318713302613i
2.85,0.742366030570156 + 0.167529784656555i
2.853,0.743473620704543 + 0.166740841507965i
2.856,0.74457218227975 + 0.165951920717333i
2.859,0.745661801985794 + 0.16516305811i
2.862,0.746742565579179 + 0.1643742884995i
2.865,0.747814557889709 + 0.163585645710379i
2.868,0.748877862827332 + 0.162797162600541i
2.871,0.749932563389052 + 0.162008871083107i
2.874,0.750978741665874 + 0.161220802147803i
2.877,0.752016478849795 + 0.160432985881896i
2.88,0.753045855240814 + 0.159645451490673i
